id Chemistry Physics Mathematics Literature Sex Year_of_study
1 93 42 98 34 Male 1
2 71 67 68 33 Male 1
3 77 59 36 24 Male 1
4 78 70 92 24 Male 1
5 77 59 44 31 Male 1
6 81 50 45 22 Male 2
7 88 50 58 23 Female 2
8 74 51 31 32 Female 2
9 67 45 70 31 Female 2
10 78 64 46 26 Female 2
11 77 49 41 75 Male 1
12 67 49 46 81 Male 1
13 63 48 65 87 Female 1
14 83 51 62 100 Female 1
15 73 56 20 81 Female 1
16 70 47 22 100 Female 2
17 78 53 92 77 Male 2
18 95 56 56 89 Male 2
19 88 49 28 100 Male 2
20 75 71 94 77 Male 2
